Year,Variable,Stage,Input,Output,Cost
2053,NA,rec,phev_nmc,lce,9999
2053,NA,rec,bev_lfp,loh,9999
2053,NA,rec,phev_lfp,loh,9999
2054,NA,rec,bev_nmc,lce,9999
2054,NA,rec,phev_nmc,lce,9999
2054,NA,rec,bev_lfp,loh,9999
2054,NA,rec,phev_lfp,loh,9999
2055,NA,rec,bev_nmc,lce,9999
2055,NA,rec,phev_nmc,lce,9999
2055,NA,rec,bev_lfp,loh,9999
2055,NA,rec,phev_lfp,loh,9999
2056,NA,rec,bev_nmc,lce,9999
2056,NA,rec,phev_nmc,lce,9999
2056,NA,rec,bev_lfp,loh,9999
2056,NA,rec,phev_lfp,loh,9999
2057,NA,rec,bev_nmc,lce,9999
2057,NA,rec,phev_nmc,lce,9999
2057,NA,rec,bev_lfp,loh,9999
2057,NA,rec,phev_lfp,loh,9999
2058,NA,rec,bev_nmc,lce,9999
2058,NA,rec,phev_nmc,lce,9999
2058,NA,rec,bev_lfp,loh,9999
2058,NA,rec,phev_lfp,loh,9999
2059,NA,rec,bev_nmc,lce,9999
2059,NA,rec,phev_nmc,lce,9999
2059,NA,rec,bev_lfp,loh,9999
2059,NA,rec,phev_lfp,loh,9999
2060,NA,rec,bev_nmc,lce,9999
2060,NA,rec,phev_nmc,lce,9999
2060,NA,rec,bev_lfp,loh,9999
2060,NA,rec,phev_lfp,loh,9999
2061,NA,rec,bev_nmc,lce,9999
2061,NA,rec,phev_nmc,lce,9999
2061,NA,rec,bev_lfp,loh,9999
2061,NA,rec,phev_lfp,loh,9999
2062,NA,rec,bev_nmc,lce,9999
2062,NA,rec,phev_nmc,lce,9999
2062,NA,rec,bev_lfp,loh,9999
2062,NA,rec,phev_lfp,loh,9999
2063,NA,rec,bev_nmc,lce,9999
2063,NA,rec,phev_nmc,lce,9999
2063,NA,rec,bev_lfp,loh,9999
2063,NA,rec,phev_lfp,loh,9999
2064,NA,rec,bev_nmc,lce,9999
2064,NA,rec,phev_nmc,lce,9999
2064,NA,rec,bev_lfp,loh,9999
2064,NA,rec,phev_lfp,loh,9999
2065,NA,rec,bev_nmc,lce,9999
2065,NA,rec,phev_nmc,lce,9999
2065,NA,rec,bev_lfp,loh,9999
2065,NA,rec,phev_lfp,loh,9999
2066,NA,rec,bev_nmc,lce,9999
2066,NA,rec,phev_nmc,lce,9999
2066,NA,rec,bev_lfp,loh,9999
2066,NA,rec,phev_lfp,loh,9999
2067,NA,rec,bev_nmc,lce,9999
2067,NA,rec,phev_nmc,lce,9999
2067,NA,rec,bev_lfp,loh,9999
2067,NA,rec,phev_lfp,loh,9999
2068,NA,rec,bev_nmc,lce,9999
2068,NA,rec,phev_nmc,lce,9999
2068,NA,rec,bev_lfp,loh,9999
2068,NA,rec,phev_lfp,loh,9999
2069,NA,rec,bev_nmc,lce,9999
2069,NA,rec,phev_nmc,lce,9999
2069,NA,rec,bev_lfp,loh,9999
2069,NA,rec,phev_lfp,loh,9999
2070,NA,rec,bev_nmc,lce,9999
2070,NA,rec,phev_nmc,lce,9999
2070,NA,rec,bev_lfp,loh,9999
2070,NA,rec,phev_lfp,loh,9999
2071,NA,rec,bev_nmc,lce,9999
2071,NA,rec,phev_nmc,lce,9999
2071,NA,rec,bev_lfp,loh,9999
2071,NA,rec,phev_lfp,loh,9999
2072,NA,rec,bev_nmc,lce,9999
2072,NA,rec,phev_nmc,lce,9999
2072,NA,rec,bev_lfp,loh,9999
2072,NA,rec,phev_lfp,loh,9999
2073,NA,rec,bev_nmc,lce,9999
2073,NA,rec,phev_nmc,lce,9999
2073,NA,rec,bev_lfp,loh,9999
2073,NA,rec,phev_lfp,loh,9999
2074,NA,rec,bev_nmc,lce,9999
2074,NA,rec,phev_nmc,lce,9999
2074,NA,rec,bev_lfp,loh,9999
2074,NA,rec,phev_lfp,loh,9999
2075,NA,rec,bev_nmc,lce,9999
2075,NA,rec,phev_nmc,lce,9999
2075,NA,rec,bev_lfp,loh,9999
2075,NA,rec,phev_lfp,loh,9999
2076,NA,rec,bev_nmc,lce,9999
2076,NA,rec,phev_nmc,lce,9999
2076,NA,rec,bev_lfp,loh,9999
2076,NA,rec,phev_lfp,loh,9999
2077,NA,rec,bev_nmc,lce,9999
2077,NA,rec,phev_nmc,lce,9999
2077,NA,rec,bev_lfp,loh,9999
2077,NA,rec,phev_lfp,loh,9999
2078,NA,rec,bev_nmc,lce,9999
2078,NA,rec,phev_nmc,lce,9999
2078,NA,rec,bev_lfp,loh,9999
2078,NA,rec,phev_lfp,loh,9999
2079,NA,rec,bev_nmc,lce,9999
2079,NA,rec,phev_nmc,lce,9999
2079,NA,rec,bev_lfp,loh,9999
2079,NA,rec,phev_lfp,loh,9999
2080,NA,rec,bev_nmc,lce,9999
2080,NA,rec,phev_nmc,lce,9999
2080,NA,rec,bev_lfp,loh,9999
2080,NA,rec,phev_lfp,loh,9999
2081,NA,rec,bev_nmc,lce,9999
2081,NA,rec,phev_nmc,lce,9999
2081,NA,rec,bev_lfp,loh,9999
2081,NA,rec,phev_lfp,loh,9999
2082,NA,rec,bev_nmc,lce,9999
2082,NA,rec,phev_nmc,lce,9999
2082,NA,rec,bev_lfp,loh,9999
2082,NA,rec,phev_lfp,loh,9999
2083,NA,rec,bev_nmc,lce,9999
2083,NA,rec,phev_nmc,lce,9999
2083,NA,rec,bev_lfp,loh,9999
2083,NA,rec,phev_lfp,loh,9999
2084,NA,rec,bev_nmc,lce,9999
2084,NA,rec,phev_nmc,lce,9999
2084,NA,rec,bev_lfp,loh,9999
2084,NA,rec,phev_lfp,loh,9999
2085,NA,rec,bev_nmc,lce,9999
2085,NA,rec,phev_nmc,lce,9999
2085,NA,rec,bev_lfp,loh,9999
2085,NA,rec,phev_lfp,loh,9999
2086,NA,rec,bev_nmc,lce,9999
2086,NA,rec,phev_nmc,lce,9999
2086,NA,rec,bev_lfp,loh,9999
2086,NA,rec,phev_lfp,loh,9999
2087,NA,rec,bev_nmc,lce,9999
2087,NA,rec,phev_nmc,lce,9999
2087,NA,rec,bev_lfp,loh,9999
2087,NA,rec,phev_lfp,loh,9999
2088,NA,rec,bev_nmc,lce,9999
2088,NA,rec,phev_nmc,lce,9999
2088,NA,rec,bev_lfp,loh,9999
2088,NA,rec,phev_lfp,loh,9999
2089,NA,rec,bev_nmc,lce,9999
2089,NA,rec,phev_nmc,lce,9999
2089,NA,rec,bev_lfp,loh,9999
2089,NA,rec,phev_lfp,loh,9999
2090,NA,rec,bev_nmc,lce,9999
2090,NA,rec,phev_nmc,lce,9999
2090,NA,rec,bev_lfp,loh,9999
2090,NA,rec,phev_lfp,loh,9999
2091,NA,rec,bev_nmc,lce,9999
2091,NA,rec,phev_nmc,lce,9999
2091,NA,rec,bev_lfp,loh,9999
2091,NA,rec,phev_lfp,loh,9999
2092,NA,rec,bev_nmc,lce,9999
2092,NA,rec,phev_nmc,lce,9999
2092,NA,rec,bev_lfp,loh,9999
2092,NA,rec,phev_lfp,loh,9999
2093,NA,rec,bev_nmc,lce,9999
2093,NA,rec,phev_nmc,lce,9999
2093,NA,rec,bev_lfp,loh,9999
2093,NA,rec,phev_lfp,loh,9999
2094,NA,rec,bev_nmc,lce,9999
2094,NA,rec,phev_nmc,lce,9999
2094,NA,rec,bev_lfp,loh,9999
2094,NA,rec,phev_lfp,loh,9999
2095,NA,rec,bev_nmc,lce,9999
2095,NA,rec,phev_nmc,lce,9999
2095,NA,rec,bev_lfp,loh,9999
2095,NA,rec,phev_lfp,loh,9999
2096,NA,rec,bev_nmc,lce,9999
2096,NA,rec,phev_nmc,lce,9999
2096,NA,rec,bev_lfp,loh,9999
2096,NA,rec,phev_lfp,loh,9999
2097,NA,rec,bev_nmc,lce,9999
2097,NA,rec,phev_nmc,lce,9999
2097,NA,rec,bev_lfp,loh,9999
2097,NA,rec,phev_lfp,loh,9999
2098,NA,rec,bev_nmc,lce,9999
2098,NA,rec,phev_nmc,lce,9999
2098,NA,rec,bev_lfp,loh,9999
2098,NA,rec,phev_lfp,loh,9999
2099,NA,rec,bev_nmc,lce,9999
2099,NA,rec,phev_nmc,lce,9999
2099,NA,rec,bev_lfp,loh,9999
2099,NA,rec,phev_lfp,loh,9999
2100,NA,rec,bev_nmc,lce,9999
2100,NA,rec,phev_nmc,lce,9999
2100,NA,rec,bev_lfp,loh,9999
2100,NA,rec,phev_lfp,loh,9999
